YYYYMMDD	Hour	Lat	Long	Course	PL	Distance	Ice_Log	URL_W	Url_E	Note	Ice_1	Ice_2	Orig Lat	Orig Lon	Orig Course	Baro	Attd	Dry	Wet	Water	Ships
1944-06-01	1	53.25	174.61	273		10.6		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/brazos-ao-4-1944-06/brazos-ao-4-1944-06-0003.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/brazos-ao-4-1944-06/brazos-ao-4-1944-06-0004.jpg				53.25	174.61	273	29.70	39	39	38	42	
1944-06-01	2	53.26	174.31	273		10.6		3					53.26	174.31	273	29.71	38	38	37	42	
1944-06-01	3	53.27	174.02	273		10.6		3					53.27	174.02	273	29.73	38	38	37	42	
1944-06-01	4	53.28	173.72	273		10.6		3		0445: cc 190			53.28	173.72	273	29.73	38	38	37	42	
1944-06-01	5	53.1	173.67	190		10.6		3					53.1	173.67	190	29.75	38	38	37	42	
1944-06-01	6	52.93	173.62	190		10.6		3					52.93	173.62	190	29.76	39	39	38	42	
1944-06-01	7	52.76	173.57	190		10.6		3		0708: cc 270. 0711 cc 282. 0724 cc 268.			52.76	173.57	190	29.78	39	39	39	42	
1944-06-01	8	52.75	173.28	268		10.6		3		0816: cc var.			52.75	173.28	268	29.79	40	40	39	42	
1944-06-01	9	52.83	173.19	327		5.8		3		0901: Moored Buoy #3 Massacre Bay.			52.83	173.19	327	29.81	44	44	42	42	
1944-06-01	10	52.83	173.19			a		3					52.83	173.19		29.83	42	42	40	42	
1944-06-01	11	52.83	173.19			a		3					52.83	173.19		29.83	44	44	42	42	
1944-06-01	12	52.83	173.19			a		3					52.83	173.19		29.84	45	45	43	42	
1944-06-01	13	52.83	173.19			a		3					52.83	173.19		29.85	47	47	45	42	1343: USS Buckeye
1944-06-01	14	52.83	173.19			a		3					52.83	173.19		29.85	49	49	46	42	
1944-06-01	15	52.83	173.19			a		3					52.83	173.19		29.86	52	52	48	42	
1944-06-01	16	52.83	173.19			a		3					52.83	173.19		29.87	54	54	49	42	
1944-06-01	17	52.83	173.19			a		3					52.83	173.19		29.87	49	49	46	42	
1944-06-01	18	52.83	173.19			a		3					52.83	173.19		29.87	44	44	41	42	
1944-06-01	19	52.83	173.19			a		3					52.83	173.19		29.87	45	45	43	42	
1944-06-01	20	52.83	173.19			a		3					52.83	173.19		29.87	45	45	43	42	
1944-06-01	21	52.83	173.19			a		3					52.83	173.19		29.88	48	48	45	42	
1944-06-01	22	52.83	173.19			a		3					52.83	173.19		29.89	45	45	44	42	
1944-06-01	23	52.83	173.19			a		3					52.83	173.19		29.89	42	42	41	42	
1944-06-01	24	52.83	173.19			a		3					52.83	173.19		29.89	43	43	42	42	
1944-06-02	1	52.83	173.19			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/brazos-ao-4-1944-06/brazos-ao-4-1944-06-0005.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/brazos-ao-4-1944-06/brazos-ao-4-1944-06-0006.jpg				52.83	173.19		29.89	44	44	42	42	
1944-06-02	2	52.83	173.19			a		5					52.83	173.19		29.89	42	42	41	42	
1944-06-02	3	52.83	173.19			a		5					52.83	173.19		29.88	42	42	41	42	
1944-06-02	4	52.83	173.19			a		5					52.83	173.19		29.88	42	42	41	42	
1944-06-02	5	52.83	173.19			a		5					52.83	173.19		29.89	43	43	42	42	
1944-06-02	6	52.83	173.19			a		5					52.83	173.19		29.89	43	43	42	42	
1944-06-02	7	52.83	173.19			a		5					52.83	173.19		29.90	43	43	42	42	
1944-06-02	8	52.83	173.19			a		5					52.83	173.19		29.90	44	44	43	42	
1944-06-02	9	52.83	173.19			a		5					52.83	173.19		29.91	46	46	45	42	"0943: USS Active, USCG Aurora, USS Edward C. Daly"
1944-06-02	10	52.83	173.19			a		5					52.83	173.19		29.92	47	47	45	42	
1944-06-02	11	52.83	173.19			a		5					52.83	173.19		29.93	48	48	44	42	
1944-06-02	12	52.83	173.19			a		5		Noon: Attu			52.83	173.19		29.94	47	47	44	42	
1944-06-02	13	52.83	173.19			a		5					52.83	173.19		29.95	50	50	46	42	1300: USS Boxwood
1944-06-02	14	52.83	173.19			a		5					52.83	173.19		29.95	51	51	47	40	
1944-06-02	15	52.83	173.19			a		5					52.83	173.19		29.96	46	46	44	41	
1944-06-02	16	52.83	173.19			a		5					52.83	173.19		29.97	54	54	49	40	
1944-06-02	17	52.83	173.19			a		5					52.83	173.19		29.97	52	52	48	42	
1944-06-02	18	52.83	173.19			a		5					52.83	173.19		29.97	50	50	44	42	
1944-06-02	19	52.83	173.19			a		5					52.83	173.19		29.97	46	46	43	42	
1944-06-02	20	52.83	173.19			a		5					52.83	173.19		29.98	46	46	43	42	
1944-06-02	21	52.83	173.19			a		5					52.83	173.19		29.99	46	46	43	42	
1944-06-02	22	52.83	173.19			a		5					52.83	173.19		30.00	45	45	42	42	
1944-06-02	23	52.83	173.19			a		5					52.83	173.19		30.02	44	44	42	42	
1944-06-02	24	52.83	173.19			a		5					52.83	173.19		30.03	44	44	42	42	
1944-06-03	1	52.83	173.19			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/brazos-ao-4-1944-06/brazos-ao-4-1944-06-0007.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/brazos-ao-4-1944-06/brazos-ao-4-1944-06-0008.jpg				52.83	173.19		30.03	43	43	41	42	
1944-06-03	2	52.83	173.19			a		7					52.83	173.19		30.03	43	43	41	42	
1944-06-03	3	52.83	173.19			a		7					52.83	173.19		30.03	43	43	41	42	
1944-06-03	4	52.83	173.19			a		7					52.83	173.19		30.03	43	43	41	42	
1944-06-03	5	52.83	173.19			a		7					52.83	173.19		30.04	43	43	41	42	
1944-06-03	6	52.83	173.19			a		7					52.83	173.19		30.05	43	43	41	42	
1944-06-03	7	52.83	173.19			a		7					52.83	173.19		30.05	43	43	41	42	
1944-06-03	8	52.83	173.19			a		7					52.83	173.19		30.05	45	45	42	42	
1944-06-03	9	52.83	173.19			a		7					52.83	173.19		30.08	45	45	43	42	
1944-06-03	10	52.83	173.19			a		7					52.83	173.19		30.09	47	47	43	41	
1944-06-03	11	52.83	173.19			a		7					52.83	173.19		30.11	52	52	46	41	
1944-06-03	12	52.83	173.19			a		7		Noon: Attu			52.83	173.19		30.12	54	54	48	41	
1944-06-03	13	52.83	173.19			a		7					52.83	173.19		30.12	56	56	50	41	
1944-06-03	14	52.83	173.19			a		7					52.83	173.19		30.13	61	61	53	41	
1944-06-03	15	52.83	173.19			a		7					52.83	173.19		30.14	62	62	54	41	
1944-06-03	16	52.83	173.19			a		7					52.83	173.19		30.15	63	63	55	41	
1944-06-03	17	52.83	173.19			a		7					52.83	173.19		30.16	65	65	56	41	
1944-06-03	18	52.83	173.19			a		7					52.83	173.19		30.16	65	65	56	41	
1944-06-03	19	52.83	173.19			a		7					52.83	173.19		30.16	63	63	56	42	
1944-06-03	20	52.83	173.19			a		7					52.83	173.19		30.17	57	57	52	42	
1944-06-03	21	52.83	173.19			a		7					52.83	173.19		30.17	53	53	49	42	
1944-06-03	22	52.83	173.19			a		7					52.83	173.19		30.17	50	50	47	42	
1944-06-03	23	52.83	173.19			a		7					52.83	173.19		30.17	47	47	52	42	
1944-06-03	24	52.83	173.19			a		7					52.83	173.19		30.17	45	45	44	42	
1944-06-04	1	52.83	173.19			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/brazos-ao-4-1944-06/brazos-ao-4-1944-06-0009.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/brazos-ao-4-1944-06/brazos-ao-4-1944-06-0010.jpg				52.83	173.19		30.18	45	45	44	42	
1944-06-04	2	52.83	173.19			a		9					52.83	173.19		30.19	45	45	44	42	
1944-06-04	3	52.83	173.19			a		9					52.83	173.19		30.20	43	43	42	42	
1944-06-04	4	52.83	173.19			a		9					52.83	173.19		30.20	44	44	43	42	
1944-06-04	5	52.83	173.19			a		9					52.83	173.19		30.20	43	43	42	41	
1944-06-04	6	52.83	173.19			a		9					52.83	173.19		30.21	43	43	43	41	
1944-06-04	7	52.83	173.19			a		9					52.83	173.19		30.21	42	42	42	41	
1944-06-04	8	52.83	173.19			a		9					52.83	173.19		30.21	42	42	42	41	
1944-06-04	9	52.83	173.19			a		9					52.83	173.19		30.22	43	43	43	41	
1944-06-04	10	52.83	173.19			a		9					52.83	173.19		30.22	43	43	43	41	
1944-06-04	11	52.83	173.19			a		9					52.83	173.19		30.23	44	44	44	41	
1944-06-04	12	52.83	173.19			a		9		Noon: Attu			52.83	173.19		30.23	45	45	45	41	
1944-06-04	13	52.83	173.19			a		9					52.83	173.19		30.24	42	42	41	41	
1944-06-04	14	52.83	173.19			a		9					52.83	173.19		30.25	50	50	48	41	
1944-06-04	15	52.83	173.19			a		9					52.83	173.19		30.25	50	50	49	41	
1944-06-04	16	52.83	173.19			a		9					52.83	173.19		30.25	52	52	50	42	
1944-06-04	17	52.83	173.19			a		9					52.83	173.19		30.25	50	50	48	42	
1944-06-04	18	52.83	173.19			a		9					52.83	173.19		30.25	52	52	50	42	
1944-06-04	19	52.83	173.19			a		9					52.83	173.19		30.26	50	50	49	42	
1944-06-04	20	52.83	173.19			a		9					52.83	173.19		30.26	46	46	46	42	
1944-06-04	21	52.83	173.19			a		9					52.83	173.19		30.25	45	45	45	42	
1944-06-04	22	52.83	173.19			a		9					52.83	173.19		30.25	45	45	45	42	
1944-06-04	23	52.83	173.19			a		9					52.83	173.19		30.27	44	44	44	42	
1944-06-04	24	52.83	173.19			a		9					52.83	173.19		30.27	43	43	43	42	
1944-06-05	1	52.83	173.19			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/brazos-ao-4-1944-06/brazos-ao-4-1944-06-0011.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/brazos-ao-4-1944-06/brazos-ao-4-1944-06-0012.jpg				52.83	173.19		30.27	42	42	42	42	
1944-06-05	2	52.83	173.19			a		11					52.83	173.19		30.27	43	43	43	42	
1944-06-05	3	52.83	173.19			a		11					52.83	173.19		30.27	43	43	43	42	
1944-06-05	4	52.83	173.19			a		11					52.83	173.19		30.27	42	42	42	42	
1944-06-05	5	52.83	173.19			a		11					52.83	173.19		30.27	41	41	41	41	
1944-06-05	6	52.83	173.19			a		11					52.83	173.19		30.27	41	41	41	41	
1944-06-05	7	52.83	173.19			a		11					52.83	173.19		30.26	41	41	41	41	
1944-06-05	8	52.83	173.19			a		11					52.83	173.19		30.26	40	40	40	41	0813: USS Avocet
1944-06-05	9	52.83	173.19			a		11		"0928: Shiftred anchorage. Mass Rock 3251/2T, #4 Beacon 2863/4, SIgnal Tower 114."			52.83	173.19		30.27	40	40	40	41	
1944-06-05	10	52.83	173.19			3		11					52.83	173.19		30.27	44	44	44	42	
1944-06-05	11	52.83	173.19			a		11					52.83	173.19		30.28	42	42	44	42	
1944-06-05	12	52.83	173.19			a		11		Noon: Attu			52.83	173.19		30.27	41	41	41	41	
1944-06-05	13	52.83	173.19			a		11					52.83	173.19		30.27	41	41	41	42	
1944-06-05	14	52.83	173.19			a		11					52.83	173.19		30.27	43	43	43	42	
1944-06-05	15	52.83	173.19			a		11					52.83	173.19		30.28	42	42	42	42	1533: USCG Explorer.
1944-06-05	16	52.83	173.19			a		11					52.83	173.19		30.27	42	42	42	42	
1944-06-05	17	52.83	173.19			a		11					52.83	173.19		30.28	42	42	42	42	
1944-06-05	18	52.83	173.19			a		11					52.83	173.19		30.27	42	42	42	42	
1944-06-05	19	52.83	173.19			a		11					52.83	173.19		30.27	41	41	41	42	
1944-06-05	20	52.83	173.19			a		11					52.83	173.19		30.27	41	41	41	42	
1944-06-05	21	52.83	173.19			a		11					52.83	173.19		30.27	42	42	42	42	2100: USS Engstrom
1944-06-05	22	52.83	173.19			a		11					52.83	173.19		30.27	42	42	42	42	
1944-06-05	23	52.83	173.19			a		11					52.83	173.19		30.27	42	42	42	42	
1944-06-05	24	52.83	173.19			a		11					52.83	173.19		30.27	42	42	42	42	
1944-06-06	1	52.83	173.19			a		https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/brazos-ao-4-1944-06/brazos-ao-4-1944-06-0013.jpg	https://s3.amazonaws.com/NARAprodstorage/lz/dc-metro/rg-024/594258/0024/brazos-ao-4-1944-06/brazos-ao-4-1944-06-0014.jpg				52.83	173.19		30.27	42	42	42	42	
1944-06-06	2	52.83	173.19			a		13					52.83	173.19		30.26	42	42	42	42	
1944-06-06	3	52.83	173.19			a		13					52.83	173.19		30.25	42	42	42	41	
1944-06-06	4	52.83	173.19			a		13					52.83	173.19		30.23	42	42	42	42	
1944-06-06	5	52.83	173.19			a		13					52.83	173.19		30.23	42	42	42	41	
1944-06-06	6	52.83	173.19			a		13					52.83	173.19		30.21	41	41	41	41	
1944-06-06	7	52.83	173.19			a		13					52.83	173.19		30.21	41	41	41	41	
1944-06-06	8	52.83	173.19			a		13					52.83	173.19		30.20	42	42	42	42	
1944-06-06	9	52.83	173.19			a		13					52.83	173.19		30.18	42	42	42	42	
1944-06-06	10	52.83	173.19			a		13					52.83	173.19		30.17	42	42	42	42	
1944-06-06	11	52.83	173.19			a		13					52.83	173.19		30.16	42	42	42	42	
1944-06-06	12	52.83	173.19			a		13		Noon: Attu			52.83	173.19		30.15	44	44	43	42	
1944-06-06	13	52.83	173.19			a		13					52.83	173.19		30.13	43	43	43	42	
1944-06-06	14	52.83	173.19			a		13					52.83	173.19		30.12	42	42	42	42	
1944-06-06	15	52.83	173.19			a		13					52.83	173.19		30.10	42	42	42	42	
1944-06-06	16	52.83	173.19			a		13					52.83	173.19		30.08	42	42	42	42	
1944-06-06	17	52.83	173.19			a		13					52.83	173.19		30.05	43	42	43	42	
1944-06-06	18	52.83	173.19			a		13					52.83	173.19		30.02	42	42	42	42	
1944-06-06	19	52.83	173.19			a		13					52.83	173.19		30.02	42	42	42	42	
1944-06-06	20	52.83	173.19			a		13					52.83	173.19		30.02	42	42	42	42	
1944-06-06	21	52.83	173.19			a		13					52.83	173.19		29.99	42	42	42	42	
1944-06-06	22	52.83	173.19			a		13					52.83	173.19		29.97	42	42	42	42	
